Successfully processed folder: Facilitators of Cultural Exchange and Community Engagement(country, city, mutual elements, NA, English), testid: 0
Successfully processed folder: Climate Modeling and Agricultural Planning(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Climate Modeling and Agricultural Planning(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Sustainable Energy Systems and Biomass Utilization(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Sustainable Energy Systems and Biomass Utilization(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Sustainable Energy Systems and Biomass Utilization(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Sustainable Energy Systems and Biomass Utilization(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Phytoremediation and Soil Bioremediation Techniques(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Phytoremediation and Soil Bioremediation Techniques(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Phytoremediation and Soil Bioremediation Techniques(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Phytoremediation and Soil Bioremediation Techniques(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Agroflorestas e Modelação Ecológica(country, STEM, mutual elements, NA, Portuguese), testid: 0
Successfully processed folder: Agroflorestas e Modelação Ecológica(country, STEM, mutual elements, NA, Portuguese), testid: 1
Successfully processed folder: Agroflorestas e Modelação Ecológica(country, STEM, mutual elements, NA, Portuguese), testid: 2
Successfully processed folder: Agroflorestas e Modelação Ecológica(country, STEM, mutual elements, NA, Portuguese), testid: 3
Successfully processed folder: Sistemas de irrigação inteligentes e IoT(country, STEM, mutual elements, NA, Portuguese), testid: 0
Successfully processed folder: Sistemas de irrigação inteligentes e IoT(country, STEM, mutual elements, NA, Portuguese), testid: 1
Successfully processed folder: Sistemas de irrigação inteligentes e IoT(country, STEM, mutual elements, NA, Portuguese), testid: 2
Successfully processed folder: Sistemas de irrigação inteligentes e IoT(country, STEM, mutual elements, NA, Portuguese), testid: 3
Successfully processed folder: Nutritional Epidemiology and Local Diets(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Nutritional Epidemiology and Local Diets(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Nutritional Epidemiology and Local Diets(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Nutritional Epidemiology and Local Diets(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: Genetic Engineering and Crop Resilience(country, STEM, mutual elements, NA, English), testid: 0
Successfully processed folder: Genetic Engineering and Crop Resilience(country, STEM, mutual elements, NA, English), testid: 1
Successfully processed folder: Genetic Engineering and Crop Resilience(country, STEM, mutual elements, NA, English), testid: 2
Successfully processed folder: Genetic Engineering and Crop Resilience(country, STEM, mutual elements, NA, English), testid: 3
Successfully processed folder: City as a Neural Network(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: City as a Neural Network(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: City as a Neural Network(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: City as a Neural Network(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: STEM as the Urban DNA(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: STEM as the Urban DNA(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: STEM as the Urban DNA(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: STEM as the Urban DNA(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: City’s Infrastructure as the Circulatory System(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: City’s Infrastructure as the Circulatory System(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: City’s Infrastructure as the Circulatory System(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: City’s Infrastructure as the Circulatory System(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Urban Challenges as Complex Equations(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Urban Challenges as Complex Equations(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Urban Challenges as Complex Equations(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Urban Challenges as Complex Equations(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Tecnologias inteligentes como sinapses urbanas(city, STEM, metaphor, NA, Portuguese), testid: 0
Successfully processed folder: Tecnologias inteligentes como sinapses urbanas(city, STEM, metaphor, NA, Portuguese), testid: 1
Successfully processed folder: Tecnologias inteligentes como sinapses urbanas(city, STEM, metaphor, NA, Portuguese), testid: 2
Successfully processed folder: Tecnologias inteligentes como sinapses urbanas(city, STEM, metaphor, NA, Portuguese), testid: 3
Successfully processed folder: المنظر الحضري كنسيج من الابتكارات(city, STEM, metaphor, NA, Arabic), testid: 0
Successfully processed folder: المنظر الحضري كنسيج من الابتكارات(city, STEM, metaphor, NA, Arabic), testid: 1
Successfully processed folder: المنظر الحضري كنسيج من الابتكارات(city, STEM, metaphor, NA, Arabic), testid: 2
Successfully processed folder: المنظر الحضري كنسيج من الابتكارات(city, STEM, metaphor, NA, Arabic), testid: 3
Successfully processed folder: Urban Resilience as a Living Organism(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Urban Resilience as a Living Organism(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Urban Resilience as a Living Organism(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Urban Resilience as a Living Organism(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Data as the City’s DNA(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Data as the City’s DNA(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Data as the City’s DNA(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Data as the City’s DNA(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: City as a Symphony of Systems(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: City as a Symphony of Systems(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: City as a Symphony of Systems(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: City as a Symphony of Systems(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Urban Innovation as a Catalyst(city, STEM, metaphor, NA, English), testid: 0
Successfully processed folder: Urban Innovation as a Catalyst(city, STEM, metaphor, NA, English), testid: 1
Successfully processed folder: Urban Innovation as a Catalyst(city, STEM, metaphor, NA, English), testid: 2
Successfully processed folder: Urban Innovation as a Catalyst(city, STEM, metaphor, NA, English), testid: 3
Successfully processed folder: Country as the Foundation for Urban Growth(country, city, metaphor, NA, English), testid: 0
Successfully processed folder: Country as the Foundation for Urban Growth(country, city, metaphor, NA, English), testid: 1
Successfully processed folder: Country as the Foundation for Urban Growth(country, city, metaphor, NA, English), testid: 2
Successfully processed folder: Country as the Foundation for Urban Growth(country, city, metaphor, NA, English), testid: 3
Successfully processed folder: المدينة كتعبير جماعي للتنوع على أساس وطني(country, city, metaphor, NA, Arabic), testid: 0
Successfully processed folder: المدينة كتعبير جماعي للتنوع على أساس وطني(country, city, metaphor, NA, Arabic), testid: 1
Successfully processed folder: المدينة كتعبير جماعي للتنوع على أساس وطني(country, city, metaphor, NA, Arabic), testid: 2
Successfully processed folder: المدينة كتعبير جماعي للتنوع على أساس وطني(country, city, metaphor, NA, Arabic), testid: 3
Successfully processed folder: Country as the Nurturing Foundation for Urban Expression(country, city, metaphor, NA, English), testid: 0
Successfully processed folder: Country as the Nurturing Foundation for Urban Expression(country, city, metaphor, NA, English), testid: 1
Successfully processed folder: Country as the Nurturing Foundation for Urban Expression(country, city, metaphor, NA, English), testid: 2
Successfully processed folder: Country as the Nurturing Foundation for Urban Expression(country, city, metaphor, NA, English), testid: 3
Successfully processed folder: المدينة كالنور الموجه ضمن السياق الوطني(country, city, metaphor, NA, Arabic), testid: 0
Successfully processed folder: المدينة كالنور الموجه ضمن السياق الوطني(country, city, metaphor, NA, Arabic), testid: 1
Successfully processed folder: المدينة كالنور الموجه ضمن السياق الوطني(country, city, metaphor, NA, Arabic), testid: 2
Successfully processed folder: المدينة كالنور الموجه ضمن السياق الوطني(country, city, metaphor, NA, Arabic), testid: 3
Successfully processed folder: O País como Essência Vital, a Cidade como Manifestação da Vida(country, city, metaphor, NA, Portuguese), testid: 0
Successfully processed folder: O País como Essência Vital, a Cidade como Manifestação da Vida(country, city, metaphor, NA, Portuguese), testid: 1
Successfully processed folder: O País como Essência Vital, a Cidade como Manifestação da Vida(country, city, metaphor, NA, Portuguese), testid: 2
Successfully processed folder: O País como Essência Vital, a Cidade como Manifestação da Vida(country, city, metaphor, NA, Portuguese), testid: 3
Successfully processed folder: City as the Guiding Force Within the National Symphony(country, city, metaphor, NA, English), testid: 0
Successfully processed folder: City as the Guiding Force Within the National Symphony(country, city, metaphor, NA, English), testid: 1
Successfully processed folder: City as the Guiding Force Within the National Symphony(country, city, metaphor, NA, English), testid: 2
Successfully processed folder: City as the Guiding Force Within the National Symphony(country, city, metaphor, NA, English), testid: 3
Successfully processed folder: O país como repositório do conhecimento, a cidade como a história do seu povo(country, city, metaphor, NA, Portuguese), testid: 0
Successfully processed folder: O país como repositório do conhecimento, a cidade como a história do seu povo(country, city, metaphor, NA, Portuguese), testid: 1
Successfully processed folder: O país como repositório do conhecimento, a cidade como a história do seu povo(country, city, metaphor, NA, Portuguese), testid: 2
Successfully processed folder: O país como repositório do conhecimento, a cidade como a história do seu povo(country, city, metaphor, NA, Portuguese), testid: 3
Successfully processed folder: Cidade como conector na paisagem nacional(country, city, metaphor, NA, Portuguese), testid: 0
Successfully processed folder: Cidade como conector na paisagem nacional(country, city, metaphor, NA, Portuguese), testid: 1
Successfully processed folder: Cidade como conector na paisagem nacional(country, city, metaphor, NA, Portuguese), testid: 2
Successfully processed folder: Cidade como conector na paisagem nacional(country, city, metaphor, NA, Portuguese), testid: 3
Successfully processed folder: O país como sistema maior de vida, a cidade como fragmento reflexivo(country, city, metaphor, NA, Portuguese), testid: 0
Successfully processed folder: O país como sistema maior de vida, a cidade como fragmento reflexivo(country, city, metaphor, NA, Portuguese), testid: 1
Successfully processed folder: O país como sistema maior de vida, a cidade como fragmento reflexivo(country, city, metaphor, NA, Portuguese), testid: 2
Successfully processed folder: O país como sistema maior de vida, a cidade como fragmento reflexivo(country, city, metaphor, NA, Portuguese), testid: 3
Successfully processed folder: City as the Navigational Guide Within the Larger National Framework(country, city, metaphor, NA, English), testid: 0
Successfully processed folder: City as the Navigational Guide Within the Larger National Framework(country, city, metaphor, NA, English), testid: 1
Successfully processed folder: City as the Navigational Guide Within the Larger National Framework(country, city, metaphor, NA, English), testid: 2
Successfully processed folder: City as the Navigational Guide Within the Larger National Framework(country, city, metaphor, NA, English), testid: 3
Successfully processed folder: Diverse Cultural Expressions within a Shared Heritage(country, city, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Diverse Cultural Expressions within a Shared Heritage(country, city, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Diverse Cultural Expressions within a Shared Heritage(country, city, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Diverse Cultural Expressions within a Shared Heritage(country, city, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: City as a Blend of Cultures, Country as a Nurturing Environment(country, city, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: City as a Blend of Cultures, Country as a Nurturing Environment(country, city, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: City as a Blend of Cultures, Country as a Nurturing Environment(country, city, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: City as a Blend of Cultures, Country as a Nurturing Environment(country, city, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Country as the Tapestry, City as the Loom(country, city, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Country as the Tapestry, City as the Loom(country, city, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Country as the Tapestry, City as the Loom(country, city, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Country as the Tapestry, City as the Loom(country, city, metaphor, Non-English European, English), testid: 3
Successfully processed folder: City as the Lighthouse, Country as the Coast(country, city, metaphor, Non-English European, English), testid: 0
Successfully processed folder: City as the Lighthouse, Country as the Coast(country, city, metaphor, Non-English European, English), testid: 1
Successfully processed folder: City as the Lighthouse, Country as the Coast(country, city, metaphor, Non-English European, English), testid: 2
Successfully processed folder: City as the Lighthouse, Country as the Coast(country, city, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Country as the Orchard, City as the Harvest Festival(country, city, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Country as the Orchard, City as the Harvest Festival(country, city, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Country as the Orchard, City as the Harvest Festival(country, city, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Country as the Orchard, City as the Harvest Festival(country, city, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Country as the Canvas, City as the Mural(country, city, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Country as the Canvas, City as the Mural(country, city, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Country as the Canvas, City as the Mural(country, city, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Country as the Canvas, City as the Mural(country, city, metaphor, Non-English European, English), testid: 3
Successfully processed folder: City as the Heartbeat, Country as the Rhythm(country, city, metaphor, Non-English European, English), testid: 0
Successfully processed folder: City as the Heartbeat, Country as the Rhythm(country, city, metaphor, Non-English European, English), testid: 1
Successfully processed folder: City as the Heartbeat, Country as the Rhythm(country, city, metaphor, Non-English European, English), testid: 2
Successfully processed folder: City as the Heartbeat, Country as the Rhythm(country, city, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Country as the Seedbed, City as the Bloom(country, city, metaphor, Non-English European, English), testid: 0
Successfully processed folder: Country as the Seedbed, City as the Bloom(country, city, metaphor, Non-English European, English), testid: 1
Successfully processed folder: Country as the Seedbed, City as the Bloom(country, city, metaphor, Non-English European, English), testid: 2
Successfully processed folder: Country as the Seedbed, City as the Bloom(country, city, metaphor, Non-English European, English), testid: 3
Successfully processed folder: Country as the Rice Paddy, STEM as the Water(country, STEM, metaphor, East Asia, English), testid: 0
Successfully processed folder: Country as the Rice Paddy, STEM as the Water(country, STEM, metaphor, East Asia, English), testid: 1
Successfully processed folder: Country as the Rice Paddy, STEM as the Water(country, STEM, metaphor, East Asia, English), testid: 2
Successfully processed folder: Country as the Rice Paddy, STEM as the Water(country, STEM, metaphor, East Asia, English), testid: 3
Successfully processed folder: Country as the Bamboo Grove, STEM as the Wind(country, STEM, metaphor, East Asia, English), testid: 0
Successfully processed folder: Country as the Bamboo Grove, STEM as the Wind(country, STEM, metaphor, East Asia, English), testid: 1
Successfully processed folder: Country as the Bamboo Grove, STEM as the Wind(country, STEM, metaphor, East Asia, English), testid: 2
Successfully processed folder: Country as the Bamboo Grove, STEM as the Wind(country, STEM, metaphor, East Asia, English), testid: 3
Successfully processed folder: Country as the Calligraphy Scroll, STEM as the Ink(country, STEM, metaphor, East Asia, English), testid: 0
Successfully processed folder: Country as the Calligraphy Scroll, STEM as the Ink(country, STEM, metaphor, East Asia, English), testid: 1
Successfully processed folder: Country as the Calligraphy Scroll, STEM as the Ink(country, STEM, metaphor, East Asia, English), testid: 2
Successfully processed folder: Country as the Calligraphy Scroll, STEM as the Ink(country, STEM, metaphor, East Asia, English), testid: 3
Successfully processed folder: Country as the Oasis, STEM as the Water Source(country, STEM, metaphor, Arabic-Islamic, English), testid: 0
Successfully processed folder: Country as the Oasis, STEM as the Water Source(country, STEM, metaphor, Arabic-Islamic, English), testid: 1
Successfully processed folder: Country as the Oasis, STEM as the Water Source(country, STEM, metaphor, Arabic-Islamic, English), testid: 2
Successfully processed folder: Country as the Oasis, STEM as the Water Source(country, STEM, metaphor, Arabic-Islamic, English), testid: 3
Successfully processed folder: البلد كالمئذنة، والـSTEM كأذان الصلاة(country, STEM, metaphor, Arabic-Islamic, Arabic), testid: 0
Successfully processed folder: البلد كالمئذنة، والـSTEM كأذان الصلاة(country, STEM, metaphor, Arabic-Islamic, Arabic), testid: 1
Successfully processed folder: البلد كالمئذنة، والـSTEM كأذان الصلاة(country, STEM, metaphor, Arabic-Islamic, Arabic), testid: 2
Successfully processed folder: البلد كالمئذنة، والـSTEM كأذان الصلاة(country, STEM, metaphor, Arabic-Islamic, Arabic), testid: 3
Successfully processed folder: Country as the Carpet, STEM as the Weavers' Hands(country, STEM, metaphor, Arabic-Islamic, English), testid: 0
Successfully processed folder: Country as the Carpet, STEM as the Weavers' Hands(country, STEM, metaphor, Arabic-Islamic, English), testid: 1
Successfully processed folder: Country as the Carpet, STEM as the Weavers' Hands(country, STEM, metaphor, Arabic-Islamic, English), testid: 2
Successfully processed folder: Country as the Carpet, STEM as the Weavers' Hands(country, STEM, metaphor, Arabic-Islamic, English), testid: 3
Successfully processed folder: المدينة كزهرة اللوتس، والـSTEM كالماء(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 0
Successfully processed folder: المدينة كزهرة اللوتس، والـSTEM كالماء(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 1
Successfully processed folder: المدينة كزهرة اللوتس، والـSTEM كالماء(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 2
Successfully processed folder: المدينة كزهرة اللوتس، والـSTEM كالماء(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 3
Successfully processed folder: المدينة كالسوق، والـSTEM كرياح التجارة(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 0
Successfully processed folder: المدينة كالسوق، والـSTEM كرياح التجارة(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 1
Successfully processed folder: المدينة كالسوق، والـSTEM كرياح التجارة(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 2
Successfully processed folder: المدينة كالسوق، والـSTEM كرياح التجارة(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 3
Successfully processed folder: المدينة كلوحة قماشية، والـSTEM كخيوط الابتكار(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 0
Successfully processed folder: المدينة كلوحة قماشية، والـSTEM كخيوط الابتكار(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 1
Successfully processed folder: المدينة كلوحة قماشية، والـSTEM كخيوط الابتكار(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 2
Successfully processed folder: المدينة كلوحة قماشية، والـSTEM كخيوط الابتكار(city, STEM, metaphor, South Asia and South-East Asia, Arabic), testid: 3
Successfully processed folder: Sustainable Practices(city, STEM, mutual elements, other, English), testid: 0
Successfully processed folder: Sustainable Practices(city, STEM, mutual elements, other, English), testid: 1
Successfully processed folder: Sustainable Practices(city, STEM, mutual elements, other, English), testid: 2
Successfully processed folder: Sustainable Practices(city, STEM, mutual elements, other, English), testid: 3
Successfully processed folder: Data-Driven Decision Making(city, STEM, mutual elements, other, English), testid: 0
Successfully processed folder: Data-Driven Decision Making(city, STEM, mutual elements, other, English), testid: 1
Successfully processed folder: Data-Driven Decision Making(city, STEM, mutual elements, other, English), testid: 2
Successfully processed folder: Data-Driven Decision Making(city, STEM, mutual elements, other, English), testid: 3
Successfully processed folder: Skill Development for Employment(city, STEM, mutual elements, other, English), testid: 0
Successfully processed folder: Skill Development for Employment(city, STEM, mutual elements, other, English), testid: 1
Successfully processed folder: Skill Development for Employment(city, STEM, mutual elements, other, English), testid: 2
Successfully processed folder: Skill Development for Employment(city, STEM, mutual elements, other, English), testid: 3
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Incontext_Images/zbh/internlm-xcomposer2d5-7b_incontext_results.json
