Successfully processed folder: Culture and Art three(animal, country, relation, USAEnglish, English), testid: 0
Successfully processed folder: Famous Symbols of cat(city, animal, relation, USAEnglish, English), testid: 3
Successfully processed folder: Cultural Elements of football(animal, country, relation, Non-English European, English), testid: 0
Successfully processed folder: Cultural Elements of football(animal, country, relation, Non-English European, English), testid: 1
Successfully processed folder: Cultural Elements of football(animal, country, relation, Non-English European, English), testid: 2
Successfully processed folder: Cultural Elements of football(animal, country, relation, Non-English European, English), testid: 3
Successfully processed folder: Cultural Elements of Spanish football(animal, country, relation, Non-English European, English), testid: 0
Successfully processed folder: Cultural Elements of Spanish football(animal, country, relation, Non-English European, English), testid: 1
Successfully processed folder: Cultural Elements of Spanish football(animal, country, relation, Non-English European, English), testid: 2
Successfully processed folder: Cultural Elements of Spanish football(animal, country, relation, Non-English European, English), testid: 3
Successfully processed folder: Cultural Elements of Korean football(animal, country, relation, East Asia, English), testid: 0
Successfully processed folder: Cultural Elements of Korean football(animal, country, relation, East Asia, English), testid: 1
Successfully processed folder: Cultural Elements of Korean football(animal, country, relation, East Asia, English), testid: 2
Successfully processed folder: Cultural Elements of Korean football(animal, country, relation, East Asia, English), testid: 3
Successfully processed folder: Symbols of horse(city, animal, relation, Non-English European, English), testid: 0
Successfully processed folder: Symbols of horse(city, animal, relation, Non-English European, English), testid: 1
Successfully processed folder: Symbols of horse(city, animal, relation, Non-English European, English), testid: 2
Successfully processed folder: Symbols of horse(city, animal, relation, Non-English European, English), testid: 3
Successfully processed folder: Symbols ofhorse(city, animal, relation, Non-English European, English), testid: 0
Successfully processed folder: Symbols ofhorse(city, animal, relation, Non-English European, English), testid: 1
Successfully processed folder: Symbols ofhorse(city, animal, relation, Non-English European, English), testid: 2
Successfully processed folder: Symbols ofhorse(city, animal, relation, Non-English European, English), testid: 3
Successfully processed folder: Symbolsofhorse(city, animal, relation, Non-English European, English), testid: 0
Successfully processed folder: Symbolsofhorse(city, animal, relation, Non-English European, English), testid: 1
Successfully processed folder: Symbolsofhorse(city, animal, relation, Non-English European, English), testid: 2
Successfully processed folder: Symbolsofhorse(city, animal, relation, Non-English European, English), testid: 3
Successfully processed folder: Cultural Elements of Koreanfootball(animal, country, relation, East Asia, English), testid: 0
Successfully processed folder: Cultural Elements of Koreanfootball(animal, country, relation, East Asia, English), testid: 1
Successfully processed folder: Cultural Elements of Koreanfootball(animal, country, relation, East Asia, English), testid: 2
Successfully processed folder: Cultural Elements of Koreanfootball(animal, country, relation, East Asia, English), testid: 3
Successfully processed folder: Cultural Elements of Australianfootball(animal, country, relation, other, English), testid: 0
Successfully processed folder: Cultural Elements of Australianfootball(animal, country, relation, other, English), testid: 1
Successfully processed folder: Cultural Elements of Australianfootball(animal, country, relation, other, English), testid: 2
Successfully processed folder: Cultural Elements of Australianfootball(animal, country, relation, other, English), testid: 3
Successfully processed folder: Cultural Elements of Nigeriafootball(animal, country, relation, other, English), testid: 0
Successfully processed folder: Cultural Elements of Nigeriafootball(animal, country, relation, other, English), testid: 1
Successfully processed folder: Cultural Elements of Nigeriafootball(animal, country, relation, other, English), testid: 2
Successfully processed folder: Cultural Elements of Nigeriafootball(animal, country, relation, other, English), testid: 3
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Incontext_Images/wjl/internlm-xcomposer2d5-7b_incontext_results.json
