Successfully processed folder: Perfect pitch (visible, ability, mutual elements, NA, English)
Skipping already processed folder: K-pop female singers(visible, music, mutual elements, East Asia, English)
Skipping already processed folder: Ka-shing Li(visible, business, mutual elements, NA, English)
Skipping already processed folder: Kamikaze suicide attack(invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Kung fu(invisible, culture, mutual elements, East Asia, English)
Skipping already processed folder: Kusanagi-no-Tsurugi sword(visible, culture, mutual elements, East Asia, English)
Skipping already processed folder: Lands in the Arctic Circle(visible, location, mutual elements, other, English)
Skipping already processed folder: Lion in their Icons(visible, animal, mutual elements, NA, English)
Skipping already processed folder: Louis Vuitton(visible, business, mutual elements, NA, English)
Skipping already processed folder: Mammals that can swim(visible, animal, mutual elements, NA, English)
Skipping already processed folder: Michelle Yeoh(visible, movie, mutual elements, East Asia, English)
Skipping already processed folder: Millennium Prize Problems(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Movie directed by Ang Lee(invisible, movie, mutual elements, East Asia, English)
Skipping already processed folder: Ne pas réveiller le chat qui dort(invisible, art, mutual elements, Non-English European, English)
Skipping already processed folder: Ninja(visible, culture, mutual elements, East Asia, English)
Skipping already processed folder: Nintendo games(visible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Nuclear power(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Numbing(invisible, smell or taste, mutual elements, NA, English)
Skipping already processed folder: Picaso self-potrait(visible, art, mutual elements, Non-English European, English)
Skipping already processed folder: Poisoning in tails(visible, animals, mutual elements, NA, English)
Skipping already processed folder: Pokemon with dragon and electric attributes(invisible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Political leaders that were actors(visible, people, mutual elements, NA, English)
Skipping already processed folder: Portuguesa culture(invisible, culture, mutual elements, Non-English European, English)
Skipping already processed folder: Prada(visible, business, mutual elements, NA, English)
Skipping already processed folder: PVC(invisible, material, mutual elements, NA, English)
Skipping already processed folder: Qin dynasty(invisible, history, mutual elements, East Asia, English)
Skipping already processed folder: Religion city(visible, city, mutual elements, NA, English)
Skipping already processed folder: Rihanna(invisible, musics, mutual elements, USAEnglish, English)
Skipping already processed folder: Royal couple(visible, people, mutual elements, NA, English)
Skipping already processed folder: Russia(visible, country, mutual elements, other, English)
Skipping already processed folder: Shared economy(visible, business, mutual elements, NA, English)
Skipping already processed folder: Solar power(invisible, STEM, mutual elements, NA, English)
Skipping already processed folder: Sour(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Spain(visible, culture, mutual elements, Non-English European, English)
Skipping already processed folder: Stealth(invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Stinky smell(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Sun Wukong(visible, myth, mutual elements, East Asia, English)
Skipping already processed folder: Symbol of rabbit(visible, sense, mutual elements, NA, English)
Skipping already processed folder: Symbols of Unforturenateness(invisible, myth, mutual elements, USAEnglish, English)
Skipping already processed folder: The Old Summer Palace(invisible, history, mutual elements, East Asia, English)
Skipping already processed folder: Time control(invisible, ability, mutual elements, NA, English)
Skipping already processed folder: Topics about hero(invisible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Transformer(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Tsunami cause(invisible, history, mutual elements, East Asia, English)
Skipping already processed folder: UCLA(invisible, location, mutual elements, USAEnglish, English)
Skipping already processed folder: Umami(invisible, sense, mutual elements, East Asia, English)
Skipping already processed folder: Uncomfortable noise(invisible, sense, mutual elements, NA, English)
Skipping already processed folder: Waterproof accessory(visible, stuff, mutual elements, NA, English)
Skipping already processed folder: Zombie(visible, myth, mutual elements, USAEnglish, English)
Skipping already processed folder: 21 can be divided by 7 exactly(invisible, number, relation, NA, English)
Skipping already processed folder: A movie clip of Titanic(invisible, movie, relation, USAEnglish, English)
Skipping already processed folder: A movie clip of Wolf of Wall street(invisible, movie, relation, USAEnglish, English)
Skipping already processed folder: A storyline of Godzilla x Kong The New Empire(visible, movie, relation, USAEnglish culture, English)
Skipping already processed folder: A storyline of Titanic(visible, movie, relation, USAEnglish culture, English)
Skipping already processed folder: A storyline of Transformer movie(invisible, movie, relation, USAEnglish culture, English)
Skipping already processed folder: Benedict Cumberbatch(visible, movie, relation, USAEnglish culture, English)
Skipping already processed folder: Blind(invisible, ability, relation, NA, English)
Skipping already processed folder: Bulletin protection(invisible, ability, relation, NA, English)
Skipping already processed folder: China(visible, country, relation, East Asia, English)
Skipping already processed folder: Deaf(invisible, ability, relation, NA, English)
Skipping already processed folder: December(invisible, time, relation, NA, English)
Skipping already processed folder: Diabetic foot ulcer smell like rotten apple(invisible, smell or taste, relation, NA, English)
Skipping already processed folder: Duck(invisible, food, relation, NA, English)
Skipping already processed folder: Eason Chan(visible, music, relation, East Asia, English)
Skipping already processed folder: Easter egg(visible, movie, relation, USAEnglish culture, English)
Skipping already processed folder: Eminem(visible, music, relation, USAEnglish culture, English)
Skipping already processed folder: English channel(visible, location, relation, USAEnglish culture, English)
Skipping already processed folder: Fermat's last theorm(invisible, STEM, relation, NA, English)
Skipping already processed folder: Gorilla(visible, animal, relation, NA, English)
Skipping already processed folder: Guangzhou(invisible, location, relation, East Asia, English)
Skipping already processed folder: Heat(visible, STEM, relation, NA, English)
Skipping already processed folder: Ice hockey(visible, sports, relation, NA, English)
Skipping already processed folder: In Chinese culture, guardian lions are set in front of the bank entrance, implying the protection of the heritage.(invisible, myth, relation, East Asia, English)
Skipping already processed folder: Black celebrity(visible,people, mutual element, NA, English)
Skipping already processed folder: Naruto(visible,cartoon or game,mutual element, East Asia, English)
Skipping already processed folder: Inventions during World War II(visible, history, relation, NA, English)
Skipping already processed folder: Mexican culture(invisible, culture, relation, other, English)
Skipping already processed folder: Nine-tail fox(invisible, culture, relation, East Asia, English)
Skipping already processed folder: Streching(visible, ability, relation, NA, English)
Skipping already processed folder: The name Vegeta inspired from vegetable(invisible, cartoon or game, relation, East Asia, English)
Skipping already processed folder: The same pronouciation between beetles and Beatles(visible, sense, relation, NA, English)
Skipping already processed folder: The same pronunciations(invisible, sense, relation, NA, English)
Skipping already processed folder: The song mockingbird(invisible, music, relation, USAEnglish, English)
Skipping already processed folder: Toriyama Akira(visible, cartoon or game, relation, East Asia, English)
Skipping already processed folder: USA(invisible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Valentine day(invisible, art, relation, USAEnglish, English)
Skipping already processed folder: Weapons in World War 1(invisible, history, relation, NA, English)
Skipping already processed folder: Zhuge Liang(invisible, history, relation, East Asia, English)
Skipping already processed folder: かわばたやすなり(visible, art, relation, East Asia, Japanese)
Skipping already processed folder: 周星驰(visible, movie, relation, East Asia, Chinese)
Skipping already processed folder: 武松打虎(invisible, animal, relation, East Asia, Chinese)
Skipping already processed folder: A pen is mightier than a sword(invisible, art, metaphor, USAEnglish, English)
Successfully processed folder: Arabian story(invisible, art, metaphor, USAEnglish, English)
Skipping already processed folder: Marriage rings(invisible, stuff, metaphor, NA, English)
Skipping already processed folder: Newton's discovery of universal gravitation(invisible, STEM, metaphor, NA, English)
Skipping already processed folder: Prisoners' dilemma(invisible, STEM, metaphor, NA, English)
Skipping already processed folder: The pot calling the kettle black(invisible, art, metaphor, USAEnglish, English)
Skipping already processed folder: Tomaten auf den Augen haben(invisible, art, metaphor, Non-English European, English)
Skipping already processed folder: Wish(invisible, myth, metaphor, East Asia, English)
Skipping already processed folder: 书中自有黄金屋(invisible, art, metaphor, East Asia, Chinese)
Results saved to D:\python\single_test_judge\InnovativeVolunteersHub-Week1Collection-jhy\yi-vision_results.json
