Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 0
Skipping already processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Mario(invisible, cartoon or game, relation, East Asia, English)
Skipping already processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English)
Skipping already processed folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Beethoven(invisible, music, relation, Non-English European, English)
Skipping already processed folder: Rock Music(invisible, music, mutual elements, NA, English)
Skipping already processed folder: Hip hop music(invisible, music, metaphor, NA, English)
Skipping already processed folder: Grand Piano(invisible, music, relation, NA, English)
Skipping already processed folder: String and Spectrum(invisible, music, relation, NA, English)
Skipping already processed folder: Trumpet(invisible, music, meatphor, NA, English)
Skipping already processed folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Skipping already processed folder: K-pop(invisible, music, mutual elements, East Asia, English)
Skipping already processed folder: Tango(invisible, music, metaphor, USAEnglish, English)
Skipping already processed folder: El Niño(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/lny/internlm-xcomposer2d5-7b_multi_results.json
Skipping already processed folder: number 0 and 1(invisible, number, metaphor, NA, English)
Skipping already processed folder: 8(invisible, number, relation, NA, English)
Skipping already processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English)
Skipping already processed folder: 6 and 9(visible, number, relation, NA, English)
Skipping already processed folder: Golden Ratio(invisible, number, mutual elements, NA, English)
Skipping already processed folder: Cryptography(invisible, number, metaphor, NA, English)
Skipping already processed folder: Superstition(visible, number, mutual elements, USAEnglish, English)
Skipping already processed folder: H2O(invisible, number, relation, NA, English)
Skipping already processed folder: Basketball Team Composition(visible, number, metaphor, NA, English)
Skipping already processed folder: Infinity(visible, number, metaphor, NA, English)
Skipping already processed folder: Solar System(visible, number, relation, NA, English)
Skipping already processed folder: Five Hundred Miles(invisible, number, relation, NA, English)
Skipping already processed folder: 12-Bar Blues(invisible, number, relation, NA, English)
Skipping already processed folder: Chance(invisible, number, metaphor, NA, English)
Skipping already processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English)
Skipping already processed folder: Cold War(invisible, history, relation, NA, English)
Skipping already processed folder: Ancient Rome(invisible, history, relation, other, English)
Skipping already processed folder: World War II(invisible, history, metaphor, NA, English)
Skipping already processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English)
Skipping already processed folder: The Information Age(invisible, history, mutual elements, NA, English)
Skipping already processed folder: The Age of Enlightenment(invisible, history, relation, NA, English)
Skipping already processed folder: The Victorian Era(invisible, history, relation, Non-English European, English)
Skipping already processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English)
Skipping already processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English)
Skipping already processed folder: The Silk Road(invisible, history, metaphor, East Asia, English)
Skipping already processed folder: The Reformation(invisible, history, metaphor, Non-English European, English)
Skipping already processed folder: Hollywood Golden Age(visible, movie, relation, USAEnglish, English)
Skipping already processed folder: Titanic(visible, movie, metaphor, USAEnglish, English)
Skipping already processed folder: Horror(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English)
Skipping already processed folder: cinema(invisible, movie, mutual elements, NA, English)
Skipping already processed folder: Frozen(visible, movie, relation, USAEnglish, English)
Skipping already processed folder: Making movie(invisible, movie, mutual elements, NA, English)
Skipping already processed folder: Jurassic Park(invisible, movie, relation, USAEnglish, English)
Skipping already processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English)
Skipping already processed folder: Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English)
Skipping already processed folder: Film Post-Production(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English)
Skipping already processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Minecraft(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Mario(invisible, cartoon or game, relation, East Asia, English)
Skipping already processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English)
Skipping already processed folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Beethoven(invisible, music, relation, Non-English European, English)
Skipping already processed folder: Rock Music(invisible, music, mutual elements, NA, English)
Skipping already processed folder: Hip hop music(invisible, music, metaphor, NA, English)
Skipping already processed folder: Grand Piano(invisible, music, relation, NA, English)
Skipping already processed folder: String and Spectrum(invisible, music, relation, NA, English)
Skipping already processed folder: Trumpet(invisible, music, meatphor, NA, English)
Skipping already processed folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Skipping already processed folder: K-pop(invisible, music, mutual elements, East Asia, English)
Skipping already processed folder: Tango(invisible, music, metaphor, USAEnglish, English)
Skipping already processed folder: El Niño(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/lny/internlm-xcomposer2d5-7b_multi_results.json
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 0
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 1
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 2
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 3
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 4
Successfully processed folder: number 0 and 1(invisible, number, metaphor, NA, English), testid: 5
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 3
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 4
Successfully processed folder: 8(invisible, number, relation, NA, English), testid: 5
Skipping already processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English)
Skipping already processed folder: 6 and 9(visible, number, relation, NA, English)
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 0
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 1
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 2
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 3
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 4
Successfully processed folder: Golden Ratio(invisible, number, mutual elements, NA, English), testid: 5
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 1
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 3
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 4
Successfully processed folder: Cryptography(invisible, number, metaphor, NA, English), testid: 5
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 0
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 1
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 2
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 3
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 4
Successfully processed folder: Superstition(visible, number, mutual elements, USAEnglish, English), testid: 5
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 3
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 4
Successfully processed folder: H2O(invisible, number, relation, NA, English), testid: 5
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 1
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 3
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 4
Successfully processed folder: Basketball Team Composition(visible, number, metaphor, NA, English), testid: 5
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 0
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 1
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 2
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 3
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 4
Successfully processed folder: Infinity(visible, number, metaphor, NA, English), testid: 5
Skipping already processed folder: Solar System(visible, number, relation, NA, English)
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 0
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 1
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 2
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 3
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 4
Successfully processed folder: Five Hundred Miles(invisible, number, relation, NA, English), testid: 5
Skipping already processed folder: 12-Bar Blues(invisible, number, relation, NA, English)
Skipping already processed folder: Chance(invisible, number, metaphor, NA, English)
Skipping already processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English)
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 0
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 1
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 2
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 3
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 4
Successfully processed folder: Cold War(invisible, history, relation, NA, English), testid: 5
Skipping already processed folder: Ancient Rome(invisible, history, relation, other, English)
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 0
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 1
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 2
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 3
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 4
Successfully processed folder: World War II(invisible, history, metaphor, NA, English), testid: 5
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 0
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 1
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 2
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 3
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 4
Successfully processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English), testid: 5
Skipping already processed folder: The Information Age(invisible, history, mutual elements, NA, English)
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 0
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 1
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 2
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 3
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 4
Successfully processed folder: The Age of Enlightenment(invisible, history, relation, NA, English), testid: 5
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 0
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 1
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 2
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 3
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 4
Successfully processed folder: The Victorian Era(invisible, history, relation, Non-English European, English), testid: 5
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 0
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 1
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 2
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 3
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 4
Successfully processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English), testid: 5
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 0
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 1
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 2
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 3
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 4
Successfully processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English), testid: 5
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 0
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 1
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 2
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 3
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 4
Successfully processed folder: The Silk Road(invisible, history, metaphor, East Asia, English), testid: 5
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English), testid: 0
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English), testid: 1
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English), testid: 2
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English), testid: 3
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English), testid: 4
Successfully processed folder: The Reformation(invisible, history, metaphor, Non-English European, English), testid: 5
Skipping already processed folder: Hollywood Golden Age(visible, movie, relation, USAEnglish, English)
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Titanic(visible, movie, metaphor, USAEnglish, English), testid: 5
Skipping already processed folder: Horror(visible, movie, mutual elements, NA, English)
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English), testid: 0
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English), testid: 1
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English), testid: 2
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English), testid: 3
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English), testid: 4
Successfully processed folder: cinema(invisible, movie, mutual elements, NA, English), testid: 5
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English), testid: 0
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English), testid: 1
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English), testid: 2
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English), testid: 3
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English), testid: 4
Successfully processed folder: Frozen(visible, movie, relation, USAEnglish, English), testid: 5
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English), testid: 0
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English), testid: 1
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English), testid: 2
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English), testid: 3
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English), testid: 4
Successfully processed folder: Making movie(invisible, movie, mutual elements, NA, English), testid: 5
Skipping already processed folder: Jurassic Park(invisible, movie, relation, USAEnglish, English)
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English), testid: 0
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English), testid: 1
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English), testid: 2
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English), testid: 3
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English), testid: 4
Successfully processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English), testid: 5
Skipping already processed folder: Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English)
Skipping already processed folder: Film Post-Production(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English)
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English), testid: 0
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English), testid: 1
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English), testid: 2
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English), testid: 3
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English), testid: 4
Successfully processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English), testid: 5
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English), testid: 0
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English), testid: 1
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English), testid: 2
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English), testid: 3
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English), testid: 4
Successfully processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English), testid: 5
Skipping already processed folder: Minecraft(invisible, cartoon or game, relation, NA, English)
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English), testid: 0
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English), testid: 1
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English), testid: 2
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English), testid: 3
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English), testid: 4
Successfully processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English), testid: 5
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English), testid: 0
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English), testid: 1
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English), testid: 2
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English), testid: 3
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English), testid: 4
Successfully processed folder: Mario(invisible, cartoon or game, relation, East Asia, English), testid: 5
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English), testid: 0
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English), testid: 1
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English), testid: 2
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English), testid: 3
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English), testid: 4
Successfully processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English), testid: 5
Skipping already processed folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Beethoven(invisible, music, relation, Non-English European, English)
Skipping already processed folder: Rock Music(invisible, music, mutual elements, NA, English)
Skipping already processed folder: Hip hop music(invisible, music, metaphor, NA, English)
Skipping already processed folder: Grand Piano(invisible, music, relation, NA, English)
Skipping already processed folder: String and Spectrum(invisible, music, relation, NA, English)
Skipping already processed folder: Trumpet(invisible, music, meatphor, NA, English)
Skipping already processed folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Skipping already processed folder: K-pop(invisible, music, mutual elements, East Asia, English)
Skipping already processed folder: Tango(invisible, music, metaphor, USAEnglish, English)
Skipping already processed folder: El Niño(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/lny/internlm-xcomposer2d5-7b_multi_results.json
Skipping already processed folder: number 0 and 1(invisible, number, metaphor, NA, English)
Skipping already processed folder: 8(invisible, number, relation, NA, English)
Skipping already processed folder: number of keys on a standard piano(visible, number, mutual elements, NA, English)
Skipping already processed folder: 6 and 9(visible, number, relation, NA, English)
Skipping already processed folder: Golden Ratio(invisible, number, mutual elements, NA, English)
Skipping already processed folder: Cryptography(invisible, number, metaphor, NA, English)
Skipping already processed folder: Superstition(visible, number, mutual elements, USAEnglish, English)
Skipping already processed folder: H2O(invisible, number, relation, NA, English)
Skipping already processed folder: Basketball Team Composition(visible, number, metaphor, NA, English)
Skipping already processed folder: Infinity(visible, number, metaphor, NA, English)
Skipping already processed folder: Solar System(visible, number, relation, NA, English)
Skipping already processed folder: Five Hundred Miles(invisible, number, relation, NA, English)
Skipping already processed folder: 12-Bar Blues(invisible, number, relation, NA, English)
Skipping already processed folder: Chance(invisible, number, metaphor, NA, English)
Skipping already processed folder: One Thousand and One Nights(invisible, number, metaphor, East Asia, English)
Skipping already processed folder: Cold War(invisible, history, relation, NA, English)
Skipping already processed folder: Ancient Rome(invisible, history, relation, other, English)
Skipping already processed folder: World War II(invisible, history, metaphor, NA, English)
Skipping already processed folder: The Renaissance(invisible, history, metaphor, Non-English European, English)
Skipping already processed folder: The Information Age(invisible, history, mutual elements, NA, English)
Skipping already processed folder: The Age of Enlightenment(invisible, history, relation, NA, English)
Skipping already processed folder: The Victorian Era(invisible, history, relation, Non-English European, English)
Skipping already processed folder: The Roaring Twenties(invisible, history, relation, USAEnglish, English)
Skipping already processed folder: Neil Armstrong's Footprint on the Moon(invisible, history, relation, USAEnglish, English)
Skipping already processed folder: The Silk Road(invisible, history, metaphor, East Asia, English)
Skipping already processed folder: The Reformation(invisible, history, metaphor, Non-English European, English)
Skipping already processed folder: Hollywood Golden Age(visible, movie, relation, USAEnglish, English)
Skipping already processed folder: Titanic(visible, movie, metaphor, USAEnglish, English)
Skipping already processed folder: Horror(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Bollywood(visible, movie, metaphor, USAEnglish, English)
Skipping already processed folder: cinema(invisible, movie, mutual elements, NA, English)
Skipping already processed folder: Frozen(visible, movie, relation, USAEnglish, English)
Skipping already processed folder: Making movie(invisible, movie, mutual elements, NA, English)
Skipping already processed folder: Jurassic Park(invisible, movie, relation, USAEnglish, English)
Skipping already processed folder: Studio Ghibli and anime(invisible, movie, metaphor, East Asia, English)
Skipping already processed folder: Cannes Film Festival and Cinéma vérité(invisible, movie, metaphor, Non-English European, English)
Skipping already processed folder: Film Post-Production(visible, movie, mutual elements, NA, English)
Skipping already processed folder: Japanese cartoon(invisible, cartoon or game, mutual elements, East Asia, English)
Skipping already processed folder: Mickey Mouse(invisible, cartoon or game, metaphor, USAEnglish, English)
Skipping already processed folder: Video Games(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Minecraft(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: Batman(visible, cartoon or game, relation, USAEnglish, English)
Skipping already processed folder: Mario(invisible, cartoon or game, relation, East Asia, English)
Skipping already processed folder: anime(invisible, cartoon or game, metaphor, East Asia, English)
Skipping already processed folder: Controller(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Multiplayer(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Role-Play Game(RPG)(invisible, cartoon or game, metaphor, NA, English)
Skipping already processed folder: Stardew Valley(invisible, cartoon or game, relation, NA, English)
Skipping already processed folder: World-building game(invisible, cartoon or game, mutual elements, NA, English)
Skipping already processed folder: Beethoven(invisible, music, relation, Non-English European, English)
Skipping already processed folder: Rock Music(invisible, music, mutual elements, NA, English)
Skipping already processed folder: Hip hop music(invisible, music, metaphor, NA, English)
Skipping already processed folder: Grand Piano(invisible, music, relation, NA, English)
Skipping already processed folder: String and Spectrum(invisible, music, relation, NA, English)
Skipping already processed folder: Trumpet(invisible, music, meatphor, NA, English)
Skipping already processed folder: Rock Music and Electric Instruments(invisible, music, relation, NA, English)
Skipping already processed folder: K-pop(invisible, music, mutual elements, East Asia, English)
Skipping already processed folder: Tango(invisible, music, metaphor, USAEnglish, English)
Skipping already processed folder: El Niño(invisible, phenomenon, relation, NA, English)
Skipping already processed folder: Nuclear Fission(invisible, phenomenon, mutual elements, NA, English)
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/lny/internlm-xcomposer2d5-7b_multi_results.json
