Judge results for folder Kanban(invisible, business, relation, East Asia, Japanese), judgeid 1 updated.
Judge results for folder Supply Chain Management(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Chaos theory2(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder The butterfly effect(visible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder The butterfly effect3(visible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Golden ratio3(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Chaos theory(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Black hole1(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Golden ratio2(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Black hole(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Fibonacci sequence(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder CRISPR technology2(invisible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder DNA double helix(visible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 1 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 2 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 3 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 4 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 5 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 6 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 7 updated.
Judge results for folder The butterfly effect1(visible, STEM, relation, NA, English), judgeid 8 updated.
Judge results for folder Marketing(invisible, business, relation, NA, English), judgeid 2 updated.
Judge results for folder Marketing(invisible, business, relation, NA, English), judgeid 3 updated.
Judge results for folder Marketing(invisible, business, relation, NA, English), judgeid 5 updated.
Judge results for folder Marketing(invisible, business, relation, NA, English), judgeid 6 updated.
Judge results for folder Marketing(invisible, business, relation, NA, English), judgeid 8 updated.
Judge results for folder Genetic code(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Genetic code(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Genetic code(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Genetic code(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Genetic code(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Fractals1(invisible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Genetic code1(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 1 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 2 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 3 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 4 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 5 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 6 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 7 updated.
Judge results for folder Artificial intelligence(visible, STEM, metaphor, NA, English), judgeid 8 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder The Pythagorean theorem(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 1 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 2 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 3 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 4 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 5 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 6 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 7 updated.
Judge results for folder Fibonacci sequence1(invisible, STEM, mutual elements, NA, English), judgeid 8 updated.
Finish: Judge results all saved to ./yi-vision_multi_judge.json
Finish: Combined results all saved to ./yi-vision_multi_test_and_judge.json
