Successfully processed folder: Elements of Slavic Folklore(myth, stuff, relation, other, Russian), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Five(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Six(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Seven(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese Eight(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Proverbs or idioms and Stuffs Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 0
Successfully processed folder: Proverbs or idioms and Stuffs Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 1
Successfully processed folder: Proverbs or idioms and Stuffs Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 2
Successfully processed folder: Proverbs or idioms and Stuffs Chinese(stuff, culture, metaphor, East Asia, chinese), testid: 3
Successfully processed folder: Items and Evolution One(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Evolution One(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Evolution One(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Evolution One(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Evolution Tow(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Evolution Tow(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Evolution Tow(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Evolution Tow(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Evolution Three(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Evolution Three(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Evolution Three(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Evolution Three(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Evolution Four(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Evolution Four(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Evolution Four(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Evolution Four(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Evolution Five(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Evolution Five(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Evolution Five(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Evolution Five(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Evolution Six(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Evolution Six(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Evolution Six(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Evolution Six(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Similar chemical composition One(stuff, stuff, mutual elements, NA, English), testid: 0
Successfully processed folder: Similar chemical composition One(stuff, stuff, mutual elements, NA, English), testid: 1
Successfully processed folder: Similar chemical composition One(stuff, stuff, mutual elements, NA, English), testid: 2
Successfully processed folder: Similar chemical composition One(stuff, stuff, mutual elements, NA, English), testid: 3
Successfully processed folder: Similar chemical composition Tow(stuff, stuff, mutual elements, NA, English), testid: 0
Successfully processed folder: Similar chemical composition Tow(stuff, stuff, mutual elements, NA, English), testid: 1
Successfully processed folder: Similar chemical composition Tow(stuff, stuff, mutual elements, NA, English), testid: 2
Successfully processed folder: Similar chemical composition Tow(stuff, stuff, mutual elements, NA, English), testid: 3
Successfully processed folder: Similar chemical composition Three(stuff, stuff, mutual elements, NA, English), testid: 0
Successfully processed folder: Similar chemical composition Three(stuff, stuff, mutual elements, NA, English), testid: 1
Successfully processed folder: Similar chemical composition Three(stuff, stuff, mutual elements, NA, English), testid: 2
Successfully processed folder: Similar chemical composition Three(stuff, stuff, mutual elements, NA, English), testid: 3
Successfully processed folder: Similar chemical composition Four(stuff, stuff, mutual elements, NA, English), testid: 0
Successfully processed folder: Similar chemical composition Four(stuff, stuff, mutual elements, NA, English), testid: 1
Successfully processed folder: Similar chemical composition Four(stuff, stuff, mutual elements, NA, English), testid: 2
Successfully processed folder: Similar chemical composition Four(stuff, stuff, mutual elements, NA, English), testid: 3
Successfully processed folder: Similar chemical composition Five(stuff, stuff, mutual elements, NA, English), testid: 0
Successfully processed folder: Similar chemical composition Five(stuff, stuff, mutual elements, NA, English), testid: 1
Successfully processed folder: Similar chemical composition Five(stuff, stuff, mutual elements, NA, English), testid: 2
Successfully processed folder: Similar chemical composition Five(stuff, stuff, mutual elements, NA, English), testid: 3
Successfully processed folder: Sports and Applications One(sports, stuff, relation, NA, English), testid: 0
Successfully processed folder: Sports and Applications One(sports, stuff, relation, NA, English), testid: 1
Successfully processed folder: Sports and Applications One(sports, stuff, relation, NA, English), testid: 2
Successfully processed folder: Sports and Applications One(sports, stuff, relation, NA, English), testid: 3
Successfully processed folder: Sports and Applications Tow(sports, stuff, relation, NA, English), testid: 0
Successfully processed folder: Sports and Applications Tow(sports, stuff, relation, NA, English), testid: 1
Successfully processed folder: Sports and Applications Tow(sports, stuff, relation, NA, English), testid: 2
Successfully processed folder: Sports and Applications Tow(sports, stuff, relation, NA, English), testid: 3
Successfully processed folder: Sports and Applications Three(sports, stuff, relation, NA, English), testid: 0
Successfully processed folder: Sports and Applications Three(sports, stuff, relation, NA, English), testid: 1
Successfully processed folder: Sports and Applications Three(sports, stuff, relation, NA, English), testid: 2
Successfully processed folder: Sports and Applications Three(sports, stuff, relation, NA, English), testid: 3
Successfully processed folder: Sports and Applications Four(sports, stuff, relation, NA, English), testid: 0
Successfully processed folder: Sports and Applications Four(sports, stuff, relation, NA, English), testid: 1
Successfully processed folder: Sports and Applications Four(sports, stuff, relation, NA, English), testid: 2
Successfully processed folder: Sports and Applications Four(sports, stuff, relation, NA, English), testid: 3
Successfully processed folder: Sports and Applications Five(sports, stuff, relation, NA, English), testid: 0
Successfully processed folder: Sports and Applications Five(sports, stuff, relation, NA, English), testid: 1
Successfully processed folder: Sports and Applications Five(sports, stuff, relation, NA, English), testid: 2
Successfully processed folder: Sports and Applications Five(sports, stuff, relation, NA, English), testid: 3
Successfully processed folder: Sports and Applications Six(sports, stuff, relation, NA, English), testid: 0
Successfully processed folder: Sports and Applications Six(sports, stuff, relation, NA, English), testid: 1
Successfully processed folder: Sports and Applications Six(sports, stuff, relation, NA, English), testid: 2
Successfully processed folder: Sports and Applications Six(sports, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles One(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles One(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles One(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles One(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Tow(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Tow(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Tow(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Tow(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Three(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Three(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Three(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Three(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Four(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Four(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Four(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Four(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Five(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Five(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Five(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Five(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Six(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Six(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Six(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Six(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Seven(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Seven(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Seven(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Seven(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Eight(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Eight(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Eight(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Eight(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Nine(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Nine(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Nine(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Nine(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Items and Principles Ten(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Items and Principles Ten(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Items and Principles Ten(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Items and Principles Ten(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Books and Authors One(art, art, relation, USAEnglish, English), testid: 0
Successfully processed folder: Books and Authors One(art, art, relation, USAEnglish, English), testid: 1
Successfully processed folder: Books and Authors One(art, art, relation, USAEnglish, English), testid: 2
Successfully processed folder: Books and Authors One(art, art, relation, USAEnglish, English), testid: 3
Successfully processed folder: Books and Authors Two(art, art, relation, other, English), testid: 0
Successfully processed folder: Books and Authors Two(art, art, relation, other, English), testid: 1
Successfully processed folder: Books and Authors Two(art, art, relation, other, English), testid: 2
Successfully processed folder: Books and Authors Two(art, art, relation, other, English), testid: 3
Successfully processed folder: Books and Authors Three(art, art, relation, USAEnglish, English), testid: 0
Successfully processed folder: Books and Authors Three(art, art, relation, USAEnglish, English), testid: 1
Successfully processed folder: Books and Authors Three(art, art, relation, USAEnglish, English), testid: 2
Successfully processed folder: Books and Authors Three(art, art, relation, USAEnglish, English), testid: 3
Successfully processed folder: Books and Authors Four(art, art, relation, Non-English European, English), testid: 0
Successfully processed folder: Books and Authors Four(art, art, relation, Non-English European, English), testid: 1
Successfully processed folder: Books and Authors Four(art, art, relation, Non-English European, English), testid: 2
Successfully processed folder: Books and Authors Four(art, art, relation, Non-English European, English), testid: 3
Successfully processed folder: Books and Authors Five(art, art, relation, USAEnglish, English), testid: 0
Successfully processed folder: Books and Authors Five(art, art, relation, USAEnglish, English), testid: 1
Successfully processed folder: Books and Authors Five(art, art, relation, USAEnglish, English), testid: 2
Successfully processed folder: Books and Authors Five(art, art, relation, USAEnglish, English), testid: 3
Successfully processed folder: Books and Authors Six(art, art, relation, East Asia, English), testid: 0
Successfully processed folder: Books and Authors Six(art, art, relation, East Asia, English), testid: 1
Successfully processed folder: Books and Authors Six(art, art, relation, East Asia, English), testid: 2
Successfully processed folder: Books and Authors Six(art, art, relation, East Asia, English), testid: 3
Successfully processed folder: Books and Authors Seven(art, art, relation, East Asia, English), testid: 0
Successfully processed folder: Books and Authors Seven(art, art, relation, East Asia, English), testid: 1
Successfully processed folder: Books and Authors Seven(art, art, relation, East Asia, English), testid: 2
Successfully processed folder: Books and Authors Seven(art, art, relation, East Asia, English), testid: 3
Successfully processed folder: Celebrities and Things One(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things One(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things One(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things One(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Two(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Two(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Two(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Two(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Three(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Three(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Three(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Three(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Four(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Four(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Four(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Four(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Five(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Five(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Five(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Five(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Six(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Six(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Six(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Six(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Seven(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Seven(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Seven(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Seven(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Eight(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Eight(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Eight(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Eight(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Nine(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Nine(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Nine(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Nine(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Celebrities and Things Ten(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Celebrities and Things Ten(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Celebrities and Things Ten(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Celebrities and Things Ten(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity One(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity One(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity One(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity One(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Two(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Two(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Two(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Two(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Three(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Three(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Three(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Three(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Four(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Four(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Four(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Four(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Five(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Five(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Five(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Five(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Six(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Six(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Six(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Six(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Seven(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Seven(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Seven(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Seven(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Eight(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Eight(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Eight(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Eight(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Visual Shape Similarity Nine(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Visual Shape Similarity Nine(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Visual Shape Similarity Nine(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Visual Shape Similarity Nine(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Anime characters and Props One(stuff, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Anime characters and Props One(stuff, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Anime characters and Props One(stuff, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Anime characters and Props One(stuff, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Anime characters and Props Two(stuff, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Anime characters and Props Two(stuff, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Anime characters and Props Two(stuff, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Anime characters and Props Two(stuff, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Anime characters and Props Three(stuff, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Anime characters and Props Three(stuff, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Anime characters and Props Three(stuff, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Anime characters and Props Three(stuff, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Anime characters and Props Four(stuff, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Anime characters and Props Four(stuff, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Anime characters and Props Four(stuff, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Anime characters and Props Four(stuff, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Anime characters and Props Five(stuff, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Anime characters and Props Five(stuff, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Anime characters and Props Five(stuff, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Anime characters and Props Five(stuff, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Anime characters and Props Six(stuff, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Anime characters and Props Six(stuff, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Anime characters and Props Six(stuff, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Anime characters and Props Six(stuff, stuff, relation, East Asia, English), testid: 3
Successfully processed folder: Myth and Stuff One(stuff, myth, relation, East Asia, English), testid: 0
Successfully processed folder: Myth and Stuff One(stuff, myth, relation, East Asia, English), testid: 1
Successfully processed folder: Myth and Stuff One(stuff, myth, relation, East Asia, English), testid: 2
Successfully processed folder: Myth and Stuff One(stuff, myth, relation, East Asia, English), testid: 3
Successfully processed folder: Myth and Stuff Tow(stuff, myth, relation, Non-English European, English), testid: 0
Successfully processed folder: Myth and Stuff Tow(stuff, myth, relation, Non-English European, English), testid: 1
Successfully processed folder: Myth and Stuff Tow(stuff, myth, relation, Non-English European, English), testid: 2
Successfully processed folder: Myth and Stuff Tow(stuff, myth, relation, Non-English European, English), testid: 3
Successfully processed folder: Myth and Stuff Three(stuff, myth, relation, South Asia and South-East Asia, English), testid: 0
Successfully processed folder: Myth and Stuff Three(stuff, myth, relation, South Asia and South-East Asia, English), testid: 1
Successfully processed folder: Myth and Stuff Three(stuff, myth, relation, South Asia and South-East Asia, English), testid: 2
Successfully processed folder: Myth and Stuff Three(stuff, myth, relation, South Asia and South-East Asia, English), testid: 3
Successfully processed folder: Myth and Stuff Four(stuff, myth, relation, Arabic-Islamic, English), testid: 0
Successfully processed folder: Myth and Stuff Four(stuff, myth, relation, Arabic-Islamic, English), testid: 1
Successfully processed folder: Myth and Stuff Four(stuff, myth, relation, Arabic-Islamic, English), testid: 2
Successfully processed folder: Myth and Stuff Four(stuff, myth, relation, Arabic-Islamic, English), testid: 3
Successfully processed folder: Myth and Stuff Five(stuff, myth, relation, other, English), testid: 0
Successfully processed folder: Myth and Stuff Five(stuff, myth, relation, other, English), testid: 1
Successfully processed folder: Myth and Stuff Five(stuff, myth, relation, other, English), testid: 2
Successfully processed folder: Myth and Stuff Five(stuff, myth, relation, other, English), testid: 3
Successfully processed folder: Myth and Stuff Six(stuff, myth, relation, Non-English European, English), testid: 0
Successfully processed folder: Myth and Stuff Six(stuff, myth, relation, Non-English European, English), testid: 1
Successfully processed folder: Myth and Stuff Six(stuff, myth, relation, Non-English European, English), testid: 2
Successfully processed folder: Myth and Stuff Six(stuff, myth, relation, Non-English European, English), testid: 3
Successfully processed folder: Myth and Stuff Seven(stuff, myth, relation, Non-English European, English), testid: 0
Successfully processed folder: Myth and Stuff Seven(stuff, myth, relation, Non-English European, English), testid: 1
Successfully processed folder: Myth and Stuff Seven(stuff, myth, relation, Non-English European, English), testid: 2
Successfully processed folder: Myth and Stuff Seven(stuff, myth, relation, Non-English European, English), testid: 3
Successfully processed folder: Same Physical Characteristics One(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Same Physical Characteristics One(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Same Physical Characteristics One(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Same Physical Characteristics One(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Same Physical Characteristics Two(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Same Physical Characteristics Two(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Same Physical Characteristics Two(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Same Physical Characteristics Two(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Same Physical Characteristics Three(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Same Physical Characteristics Three(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Same Physical Characteristics Three(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Same Physical Characteristics Three(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Same Physical Characteristics Four(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Same Physical Characteristics Four(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Same Physical Characteristics Four(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Same Physical Characteristics Four(stuff, stuff, relation, NA, English), testid: 3
Successfully processed folder: Same Physical Characteristics Five(stuff, stuff, relation, NA, English), testid: 0
Successfully processed folder: Same Physical Characteristics Five(stuff, stuff, relation, NA, English), testid: 1
Successfully processed folder: Same Physical Characteristics Five(stuff, stuff, relation, NA, English), testid: 2
Successfully processed folder: Same Physical Characteristics Five(stuff, stuff, relation, NA, English), testid: 3
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Incontext_Images/tc/internlm-xcomposer2d5-7b_incontext_results.json
