Judge results for folder Sports Bar(visible, sports, relation, USAEnglish, English), judgeid 1 updated.
Judge results for folder Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), judgeid 5 updated.
Judge results for folder Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), judgeid 5 updated.
Judge results for folder Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Баран(visible, art, mutual elements, Non-English European, Russian), judgeid 1 updated.
Judge results for folder Баран(visible, art, mutual elements, Non-English European, Russian), judgeid 2 updated.
Judge results for folder Баран(visible, art, mutual elements, Non-English European, Russian), judgeid 3 updated.
Judge results for folder Баран(visible, art, mutual elements, Non-English European, Russian), judgeid 4 updated.
Judge results for folder Баран(visible, art, mutual elements, Non-English European, Russian), judgeid 5 updated.
Judge results for folder В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), judgeid 1 updated.
Judge results for folder В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), judgeid 2 updated.
Judge results for folder В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), judgeid 3 updated.
Judge results for folder В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), judgeid 4 updated.
Judge results for folder В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), judgeid 5 updated.
Judge results for folder انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), judgeid 3 updated.
Judge results for folder انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), judgeid 4 updated.
Judge results for folder انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), judgeid 5 updated.
Judge results for folder پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), judgeid 3 updated.
Judge results for folder پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), judgeid 4 updated.
Judge results for folder پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), judgeid 5 updated.
Judge results for folder چڑیا کے گھر میں نہ بیٹھو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder چڑیا کے گھر میں نہ بیٹھو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 3 updated.
Judge results for folder جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 4 updated.
Judge results for folder جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 5 updated.
Judge results for folder خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), judgeid 3 updated.
Judge results for folder خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), judgeid 4 updated.
Judge results for folder خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), judgeid 5 updated.
Judge results for folder ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 1 updated.
Judge results for folder یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 2 updated.
Judge results for folder یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 3 updated.
Judge results for folder یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 4 updated.
Judge results for folder یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), judgeid 5 updated.
Judge results for folder Zeus(visible, myth, mutual elements, Non-English European, English), judgeid 1 updated.
Judge results for folder Zeus(visible, myth, mutual elements, Non-English European, English), judgeid 2 updated.
Judge results for folder Zeus(visible, myth, mutual elements, Non-English European, English), judgeid 3 updated.
Judge results for folder Zeus(visible, myth, mutual elements, Non-English European, English), judgeid 4 updated.
Judge results for folder Zeus(visible, myth, mutual elements, Non-English European, English), judgeid 5 updated.
Finish: Judge results all saved to ./gpt-4o_multi_judge.json
Finish: Combined results all saved to ./gpt-4o_multi_test_and_judge.json
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Finish: Judge results all saved to ./gpt-4o_multi_judge.json
Finish: Combined results all saved to ./gpt-4o_multi_test_and_judge.json
No valid prompts to send in this batch.
Judge results for folder Chinese Dragon(visible, animal, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Chinese Dragon(visible, animal, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Olympic Historic Moments(invisible, sports, relation, NA, English), judgeid 1 updated.
Judge results for folder Mooncake(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder longevity noodles(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder longevity noodles(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 3 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Pojangmacha(visible, food, relation, East Asia, English), judgeid 5 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Dado(visible, food, relation, East Asia, English), judgeid 4 updated.
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English), judgeid 1 updated.
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English), judgeid 2 updated.
Judge results for folder Chinese Cured Meats(visible, food, relation, East Asia, English), judgeid 3 updated.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 1 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 3 updated.
Judge results for folder Blue Jeans(visible, stuff, mutual elements, USAEnglish, English), judgeid 5 updated.
Judge results for folder Медведь на ухо наступил(visible, art, relation, NA, Russian), judgeid 1 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 1 updated.
Missing score for key 3 in response.
Missing score for key 4 in response.
Missing score for key 5 in response.
Missing score for key 6 in response.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Finish: Judge results all saved to ./gpt-4o_multi_judge.json
Finish: Combined results all saved to ./gpt-4o_multi_test_and_judge.json
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 2 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 3 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 4 updated.
Judge results for folder пускать пыль в глаза(visible, art, relation, NA, Russian), judgeid 5 updated.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Finish: Judge results all saved to ./gpt-4o_multi_judge.json
Finish: Combined results all saved to ./gpt-4o_multi_test_and_judge.json
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
No valid prompts to send in this batch.
Finish: Judge results all saved to ./gpt-4o_multi_judge.json
Finish: Combined results all saved to ./gpt-4o_multi_test_and_judge.json
