Successfully processed folder: Sports Bar(visible, sports, relation, USAEnglish, English), testid: 0
Successfully processed folder: На волка шапка горит(visible, art, relation, NA, Russian), testid: 2
Successfully processed folder: На волка шапка горит(visible, art, relation, NA, Russian), testid: 3
Successfully processed folder: На волка шапка горит(visible, art, relation, NA, Russian), testid: 4
Successfully processed folder: На волка шапка горит(visible, art, relation, NA, Russian), testid: 5
Successfully processed folder: Медведь на ухо наступил(visible, art, relation, NA, Russian), testid: 0
Successfully processed folder: Медведь на ухо наступил(visible, art, relation, NA, Russian), testid: 1
Successfully processed folder: пускать пыль в глаза(visible, art, relation, NA, Russian), testid: 0
Successfully processed folder: пускать пыль в глаза(visible, art, relation, NA, Russian), testid: 1
Successfully processed folder: пускать пыль в глаза(visible, art, relation, NA, Russian), testid: 2
Successfully processed folder: пускать пыль в глаза(visible, art, relation, NA, Russian), testid: 3
Successfully processed folder: пускать пыль в глаза(visible, art, relation, NA, Russian), testid: 4
Successfully processed folder: пускать пыль в глаза(visible, art, relation, NA, Russian), testid: 5
Successfully processed folder: Mount Olympus(visible, myth, relation, Non-English European, English), testid: 0
Successfully processed folder: Mount Olympus(visible, myth, relation, Non-English European, English), testid: 1
Successfully processed folder: Mount Olympus(visible, myth, relation, Non-English European, English), testid: 2
Successfully processed folder: Mount Olympus(visible, myth, relation, Non-English European, English), testid: 3
Successfully processed folder: Mount Olympus(visible, myth, relation, Non-English European, English), testid: 4
Successfully processed folder: Mount Olympus(visible, myth, relation, Non-English European, English), testid: 5
Successfully processed folder: Gumiho(visible, myth, relation, East Asia, English), testid: 0
Successfully processed folder: Gumiho(visible, myth, relation, East Asia, English), testid: 1
Successfully processed folder: Gumiho(visible, myth, relation, East Asia, English), testid: 2
Successfully processed folder: Gumiho(visible, myth, relation, East Asia, English), testid: 3
Successfully processed folder: Chupacabra(visible, myth, relation, USAEnglish, English), testid: 0
Successfully processed folder: Chupacabra(visible, myth, relation, USAEnglish, English), testid: 1
Successfully processed folder: Chupacabra(visible, myth, relation, USAEnglish, English), testid: 2
Successfully processed folder: Chupacabra(visible, myth, relation, USAEnglish, English), testid: 3
Successfully processed folder: Chupacabra(visible, myth, relation, USAEnglish, English), testid: 4
Successfully processed folder: Chupacabra(visible, myth, relation, USAEnglish, English), testid: 5
Successfully processed folder: Mount Fuji(visible, stuff, relation, East Asia, English), testid: 0
Successfully processed folder: Mount Fuji(visible, stuff, relation, East Asia, English), testid: 1
Successfully processed folder: Mount Fuji(visible, stuff, relation, East Asia, English), testid: 2
Successfully processed folder: Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), testid: 0
Successfully processed folder: Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), testid: 1
Successfully processed folder: Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), testid: 2
Successfully processed folder: Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), testid: 3
Successfully processed folder: Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), testid: 4
Successfully processed folder: Утро вечера мудренее(invisible, art, metaphor, Non-English European, Russian), testid: 5
Successfully processed folder: Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), testid: 0
Successfully processed folder: Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), testid: 1
Successfully processed folder: Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), testid: 2
Successfully processed folder: Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), testid: 3
Successfully processed folder: Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), testid: 4
Successfully processed folder: Любовь зла, полюбишь и козла(invisible, art, relation, Non-English European, Russian), testid: 5
Successfully processed folder: Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), testid: 0
Successfully processed folder: Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), testid: 1
Successfully processed folder: Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), testid: 2
Successfully processed folder: Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), testid: 3
Successfully processed folder: Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), testid: 4
Successfully processed folder: Как аукнется, так и откликнется(invisible, art, mutual elements, Non-English European, Russian), testid: 5
Successfully processed folder: Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), testid: 0
Successfully processed folder: Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), testid: 1
Successfully processed folder: Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), testid: 2
Successfully processed folder: Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), testid: 3
Successfully processed folder: Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), testid: 4
Successfully processed folder: Никогда не поздно начать заново(visible, art, mutual elements, Non-English European, Russian), testid: 5
Successfully processed folder: Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), testid: 0
Successfully processed folder: Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), testid: 1
Successfully processed folder: Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), testid: 2
Successfully processed folder: Быть человеком — значит быть свободным(visible, art, relation, Non-English European, Russian), testid: 3
Successfully processed folder: Баран(visible, art, mutual elements, Non-English European, Russian), testid: 0
Successfully processed folder: Баран(visible, art, mutual elements, Non-English European, Russian), testid: 1
Successfully processed folder: Баран(visible, art, mutual elements, Non-English European, Russian), testid: 2
Successfully processed folder: Баран(visible, art, mutual elements, Non-English European, Russian), testid: 3
Successfully processed folder: Баран(visible, art, mutual elements, Non-English European, Russian), testid: 4
Successfully processed folder: Баран(visible, art, mutual elements, Non-English European, Russian), testid: 5
Successfully processed folder: В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), testid: 0
Successfully processed folder: В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), testid: 1
Successfully processed folder: В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), testid: 2
Successfully processed folder: В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), testid: 3
Successfully processed folder: В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), testid: 4
Successfully processed folder: В жизни не бывает случайностей, все предопределено(visible, art, mutual elements, Non-English European, Russian), testid: 5
Successfully processed folder: انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), testid: 3
Successfully processed folder: انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), testid: 4
Successfully processed folder: انگور کھٹے ہیں(visible, art, relation, Arabic-Islamic, Urdu), testid: 5
Successfully processed folder: پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), testid: 3
Successfully processed folder: پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), testid: 4
Successfully processed folder: پانی میں رہ کر مگرسچائی کو نہیں بھولنا(visible, art, relation, Arabic-Islamic, Urdu), testid: 5
Successfully processed folder: چڑیا کے گھر میں نہ بیٹھو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: چڑیا کے گھر میں نہ بیٹھو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: چڑیا کے گھر میں نہ بیٹھو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 3
Successfully processed folder: جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 4
Successfully processed folder: جو بوؤ گے، وہی کاٹو گ(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 5
Successfully processed folder: خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), testid: 3
Successfully processed folder: خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), testid: 4
Successfully processed folder: خود کو پہچانو(visible, art, relation, Arabic-Islamic, Urdu), testid: 5
Successfully processed folder: ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: ہزاروں خواہشیں ایسی کہ ہر خواہش پہ دم نکلے(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 0
Successfully processed folder: یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 1
Successfully processed folder: یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 2
Successfully processed folder: یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 3
Successfully processed folder: یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 4
Successfully processed folder: یہ نہ تھی ہماری قسمت کہ وصالِ تو ہو(visible, art, mutual elements, Arabic-Islamic, Urdu), testid: 5
Successfully processed folder: Zeus(visible, myth, mutual elements, Non-English European, English), testid: 0
Successfully processed folder: Zeus(visible, myth, mutual elements, Non-English European, English), testid: 1
Successfully processed folder: Zeus(visible, myth, mutual elements, Non-English European, English), testid: 2
Successfully processed folder: Zeus(visible, myth, mutual elements, Non-English European, English), testid: 3
Successfully processed folder: Zeus(visible, myth, mutual elements, Non-English European, English), testid: 4
Successfully processed folder: Zeus(visible, myth, mutual elements, Non-English European, English), testid: 5
Results saved to /U_PZL2021KF0012/kejinxin/code/VLLM/InnovativeVolunteersHub/Multi_Images/zdw/VILA1.5-40b_multi_results.json
